Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/ubuntu/Lost-in-Mistranslation/evaluate/evaluate_crosslingual_consistency.py:360: DeprecationWarning: Use torch_xla.device instead
  return xm.xla_device(), "xla"
2026-Jul-10 20:09:17.0133 10921:10988 [3] net_plugin.cc:80 CCOM WARN NET/Plugin: Error: libnccom-net.so load failed. libfabric.so.1: cannot open shared object file: No such file or directory. Please make sure to install the latest version of libfabric from https://efa-installer.amazonaws.com/aws-efa-installer-latest.tar.gz.
Loading jvonrad/WIKI-FACT [test] from Hugging Face
Loaded 2,523 facts
Loading cached alignment: evaluate/alignments/polyfact_test_alignment.json
Device: xla
Loading model: jvonrad/Qwen-2.5-7B-TED
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights: 100%|██████████| 339/339 [00:00<00:00, 13801.87it/s]
.
Compiler status PASS

[en] scoring 2,523 facts
2026-07-10 20:09:22.000760:  10921  [INFO]: Compilation Successfully Completed for model.MODULE_934831357291328063+fad94d7c.hlo_module.pb
........
Compiler status PASS
2026-07-10 20:11:52.000862:  10921  [INFO]: Compilation Successfully Completed for model.MODULE_1683273595712503774+fad94d7c.hlo_module.pb
  [en] 100/2523  acc so far=0.7700
  [ar] 500/2523  acc so far=0.4160
  [ar] 600/2523  acc so far=0.4367
  [ar] 700/2523  acc so far=0.4571
  [ar] 800/2523  acc so far=0.4637
  [ar] 900/2523  acc so far=0.4733
  [ar] 1000/2523  acc so far=0.4690
  [ar] 1100/2523  acc so far=0.4773
  [ar] 1200/2523  acc so far=0.4783
  [ar] 1300/2523  acc so far=0.4700
  [ar] 1400/2523  acc so far=0.4743
  [ar] 1500/2523  acc so far=0.4713
  [ar] 1600/2523  acc so far=0.4775
  [ar] 1700/2523  acc so far=0.4800
  [ar] 1800/2523  acc so far=0.4783
  [ar] 1900/2523  acc so far=0.4747
  [ar] 2000/2523  acc so far=0.4735
  [ar] 2100/2523  acc so far=0.4762
  [ar] 2200/2523  acc so far=0.4786
  [ar] 2300/2523  acc so far=0.4817
  [ar] 2400/2523  acc so far=0.4825
  [ar] 2500/2523  acc so far=0.4820
[ar] accuracy = 0.4839

[bn] scoring 2,523 facts
  [bn] 100/2523  acc so far=0.5000
  [bn] 200/2523  acc so far=0.4800
  [bn] 300/2523  acc so far=0.5000
  [bn] 400/2523  acc so far=0.4900
  [bn] 500/2523  acc so far=0.4720
  [bn] 600/2523  acc so far=0.4683
  [bn] 700/2523  acc so far=0.4743
  [bn] 800/2523  acc so far=0.4688
  [bn] 900/2523  acc so far=0.4733
  [bn] 1000/2523  acc so far=0.4750
  [bn] 1100/2523  acc so far=0.4764
  [bn] 1200/2523  acc so far=0.4792
  [bn] 1300/2523  acc so far=0.4769
  [bn] 1400/2523  acc so far=0.4800
  [bn] 1500/2523  acc so far=0.4753
  [bn] 1600/2523  acc so far=0.4775
  [bn] 1700/2523  acc so far=0.4794
  [bn] 1800/2523  acc so far=0.4750
  [bn] 1900/2523  acc so far=0.4747
  [bn] 2000/2523  acc so far=0.4750
  [bn] 2100/2523  acc so far=0.4771
  [bn] 2200/2523  acc so far=0.4795
  [bn] 2300/2523  acc so far=0.4813
  [bn] 2400/2523  acc so far=0.4788
  [bn] 2500/2523  acc so far=0.4796
[bn] accuracy = 0.4796

[sw] scoring 2,523 facts
  [sw] 100/2523  acc so far=0.5000
  [sw] 200/2523  acc so far=0.5200
  [sw] 300/2523  acc so far=0.5100
  [sw] 400/2523  acc so far=0.5200
  [sw] 500/2523  acc so far=0.5220
  [sw] 600/2523  acc so far=0.5200
  [sw] 700/2523  acc so far=0.5200
  [sw] 800/2523  acc so far=0.5250
  [sw] 900/2523  acc so far=0.5233
  [sw] 1000/2523  acc so far=0.5160
  [sw] 1100/2523  acc so far=0.5073
  [sw] 1200/2523  acc so far=0.5042
  [sw] 1300/2523  acc so far=0.4962
  [sw] 1400/2523  acc so far=0.4957
  [sw] 1500/2523  acc so far=0.4913
  [sw] 1600/2523  acc so far=0.4913
  [sw] 1700/2523  acc so far=0.4876
  [sw] 1800/2523  acc so far=0.4861
  [sw] 1900/2523  acc so far=0.4858
  [sw] 2000/2523  acc so far=0.4835
  [sw] 2100/2523  acc so far=0.4810
  [sw] 2200/2523  acc so far=0.4800
  [sw] 2300/2523  acc so far=0.4822
  [sw] 2400/2523  acc so far=0.4821
  [sw] 2500/2523  acc so far=0.4832
[sw] accuracy = 0.4836

[es] scoring 2,523 facts
  [es] 100/2523  acc so far=0.6100
  [es] 200/2523  acc so far=0.6350
  [es] 300/2523  acc so far=0.6300
  [es] 400/2523  acc so far=0.6375
  [es] 500/2523  acc so far=0.6320
  [es] 600/2523  acc so far=0.6350
  [es] 700/2523  acc so far=0.6329
  [es] 800/2523  acc so far=0.6350
  [es] 900/2523  acc so far=0.6356
  [es] 1000/2523  acc so far=0.6300
  [es] 1100/2523  acc so far=0.6245
  [es] 1200/2523  acc so far=0.6283
  [es] 1300/2523  acc so far=0.6308
  [es] 1400/2523  acc so far=0.6321
  [es] 1500/2523  acc so far=0.6287
  [es] 1600/2523  acc so far=0.6294
  [es] 1700/2523  acc so far=0.6235
  [es] 1800/2523  acc so far=0.6233
  [es] 1900/2523  acc so far=0.6184
  [es] 2000/2523  acc so far=0.6165
  [es] 2100/2523  acc so far=0.6167
  [es] 2200/2523  acc so far=0.6159
  [es] 2300/2523  acc so far=0.6165
  [es] 2400/2523  acc so far=0.6142
  [es] 2500/2523  acc so far=0.6100
[es] accuracy = 0.6108

[ru] scoring 2,523 facts
  [ru] 100/2523  acc so far=0.5000
  [ru] 200/2523  acc so far=0.5100
  [ru] 300/2523  acc so far=0.5233
  [ru] 400/2523  acc so far=0.5275
  [ru] 500/2523  acc so far=0.5360
  [ru] 600/2523  acc so far=0.5450
  [ru] 700/2523  acc so far=0.5471
  [ru] 800/2523  acc so far=0.5463
  [ru] 900/2523  acc so far=0.5600
  [ru] 1000/2523  acc so far=0.5530
  [ru] 1100/2523  acc so far=0.5464
  [ru] 1200/2523  acc so far=0.5475
  [ru] 1300/2523  acc so far=0.5415
  [ru] 1400/2523  acc so far=0.5457
  [ru] 1500/2523  acc so far=0.5433
  [ru] 1600/2523  acc so far=0.5463
  [ru] 1700/2523  acc so far=0.5400
  [ru] 1800/2523  acc so far=0.5378
  [ru] 1900/2523  acc so far=0.5405
  [ru] 2000/2523  acc so far=0.5400
  [ru] 2100/2523  acc so far=0.5376
  [ru] 2200/2523  acc so far=0.5341
  [ru] 2300/2523  acc so far=0.5365
  [ru] 2400/2523  acc so far=0.5350
  [ru] 2500/2523  acc so far=0.5320
[ru] accuracy = 0.5311

[fr] scoring 2,523 facts
  [fr] 100/2523  acc so far=0.5800
  [fr] 200/2523  acc so far=0.6100
  [fr] 300/2523  acc so far=0.6133
  [fr] 400/2523  acc so far=0.6250
  [fr] 500/2523  acc so far=0.6220
  [fr] 600/2523  acc so far=0.6250
  [fr] 700/2523  acc so far=0.6257
  [fr] 800/2523  acc so far=0.6150
  [fr] 900/2523  acc so far=0.6189
  [fr] 1000/2523  acc so far=0.6180
  [fr] 1100/2523  acc so far=0.6118
  [fr] 1200/2523  acc so far=0.6158
  [fr] 1300/2523  acc so far=0.6169
  [fr] 1400/2523  acc so far=0.6150
  [fr] 1500/2523  acc so far=0.6067
  [fr] 1600/2523  acc so far=0.6038
  [fr] 1700/2523  acc so far=0.6029
  [fr] 1800/2523  acc so far=0.6006
  [fr] 1900/2523  acc so far=0.5979
  [fr] 2000/2523  acc so far=0.5980
  [fr] 2100/2523  acc so far=0.5981
  [fr] 2200/2523  acc so far=0.5968
  [fr] 2300/2523  acc so far=0.5965
  [fr] 2400/2523  acc so far=0.5954
  [fr] 2500/2523  acc so far=0.5936
[fr] accuracy = 0.5937

[ja] scoring 2,523 facts
  [ja] 100/2523  acc so far=0.5200
  [ja] 200/2523  acc so far=0.5600
  [ja] 300/2523  acc so far=0.5800
  [ja] 400/2523  acc so far=0.5800
  [ja] 500/2523  acc so far=0.5800
  [ja] 600/2523  acc so far=0.5767
  [ja] 700/2523  acc so far=0.5871
  [ja] 800/2523  acc so far=0.5913
  [ja] 900/2523  acc so far=0.5944
  [ja] 1000/2523  acc so far=0.5860
  [ja] 1100/2523  acc so far=0.5845
  [ja] 1200/2523  acc so far=0.5908
  [ja] 1300/2523  acc so far=0.5831
  [ja] 1400/2523  acc so far=0.5893
  [ja] 1500/2523  acc so far=0.5880
  [ja] 1600/2523  acc so far=0.5887
  [ja] 1700/2523  acc so far=0.5935
  [ja] 1800/2523  acc so far=0.5950
  [ja] 1900/2523  acc so far=0.5942
  [ja] 2000/2523  acc so far=0.5915
  [ja] 2100/2523  acc so far=0.5905
  [ja] 2200/2523  acc so far=0.5923
  [ja] 2300/2523  acc so far=0.5952
  [ja] 2400/2523  acc so far=0.5933
  [ja] 2500/2523  acc so far=0.5952
[ja] accuracy = 0.5965

[zh] scoring 2,523 facts
  [zh] 100/2523  acc so far=0.5200
  [zh] 200/2523  acc so far=0.5450
  [zh] 300/2523  acc so far=0.5900
  [zh] 400/2523  acc so far=0.6050
  [zh] 500/2523  acc so far=0.5920
  [zh] 600/2523  acc so far=0.5967
  [zh] 700/2523  acc so far=0.5957
  [zh] 800/2523  acc so far=0.5975
  [zh] 900/2523  acc so far=0.6011
  [zh] 1000/2523  acc so far=0.5910
  [zh] 1100/2523  acc so far=0.5909
  [zh] 1200/2523  acc so far=0.5900
  [zh] 1300/2523  acc so far=0.5838
  [zh] 1400/2523  acc so far=0.5850
  [zh] 1500/2523  acc so far=0.5827
  [zh] 1600/2523  acc so far=0.5837
  [zh] 1700/2523  acc so far=0.5835
  [zh] 1800/2523  acc so far=0.5767
  [zh] 1900/2523  acc so far=0.5795
  [zh] 2000/2523  acc so far=0.5790
  [zh] 2100/2523  acc so far=0.5786
  [zh] 2200/2523  acc so far=0.5764
  [zh] 2300/2523  acc so far=0.5770
  [zh] 2400/2523  acc so far=0.5763
  [zh] 2500/2523  acc so far=0.5776
[zh] accuracy = 0.5775

================================================================================
PER-LANGUAGE ACCURACY
  en  acc=0.7190  n=2523
  de  acc=0.6159  n=2523
  id  acc=0.6136  n=2523
  pt  acc=0.6524  n=2523
  ar  acc=0.4839  n=2523
  bn  acc=0.4796  n=2523
  sw  acc=0.4836  n=2523
  es  acc=0.6108  n=2523
  ru  acc=0.5311  n=2523
  fr  acc=0.5937  n=2523
  ja  acc=0.5965  n=2523
  zh  acc=0.5775  n=2523

TOTAL CONSISTENCY (fully parallel facts)
  correct in ALL 12 languages: 0.0523 (2523 facts)
  mean #languages correct per fact:  6.96
  histogram (k langs correct -> facts): {'0': 76, '1': 111, '2': 120, '3': 139, '4': 154, '5': 185, '6': 214, '7': 293, '8': 292, '9': 293, '10': 301, '11': 213, '12': 132}

RANKC  average=0.5923  en-X average=0.6461

RankC matrix:
           en     de     id     pt     ar     bn     sw     es     ru     fr     ja     zh
  en        -  0.750  0.736  0.757  0.512  0.504  0.643  0.735  0.574  0.733  0.580  0.583
  de    0.750      -  0.714  0.725  0.499  0.488  0.631  0.706  0.561  0.720  0.556  0.550
  id    0.736  0.714      -  0.716  0.492  0.512  0.693  0.696  0.565  0.702  0.553  0.557
  pt    0.757  0.725  0.716      -  0.521  0.512  0.621  0.760  0.579  0.732  0.568  0.563
  ar    0.512  0.499  0.492  0.521      -  0.573  0.473  0.501  0.570  0.483  0.598  0.544
  bn    0.504  0.488  0.512  0.512  0.573      -  0.488  0.482  0.537  0.483  0.618  0.551
  sw    0.643  0.631  0.693  0.621  0.473  0.488      -  0.614  0.507  0.620  0.504  0.501
  es    0.735  0.706  0.696  0.760  0.501  0.482  0.614      -  0.573  0.729  0.537  0.532
  ru    0.574  0.561  0.565  0.579  0.570  0.537  0.507  0.573      -  0.568  0.607  0.592
  fr    0.733  0.720  0.702  0.732  0.483  0.483  0.620  0.729  0.568      -  0.539  0.534
  ja    0.580  0.556  0.553  0.568  0.598  0.618  0.504  0.537  0.607  0.539      -  0.641
  zh    0.583  0.550  0.557  0.563  0.544  0.551  0.501  0.532  0.592  0.534  0.641      -

ANSWER AGREEMENT  average=0.5214

Agreement matrix:
           en     de     id     pt     ar     bn     sw     es     ru     fr     ja     zh
  en        -  0.712  0.695  0.727  0.437  0.427  0.574  0.693  0.506  0.689  0.526  0.528
  de    0.712      -  0.664  0.681  0.409  0.398  0.558  0.650  0.481  0.670  0.486  0.478
  id    0.695  0.664      -  0.668  0.398  0.432  0.633  0.639  0.489  0.652  0.489  0.489
  pt    0.727  0.681  0.668      -  0.436  0.423  0.547  0.717  0.507  0.683  0.498  0.495
  ar    0.437  0.409  0.398  0.436      -  0.487  0.379  0.406  0.485  0.386  0.527  0.458
  bn    0.427  0.398  0.432  0.423  0.487      -  0.394  0.386  0.444  0.387  0.553  0.468
  sw    0.574  0.558  0.633  0.547  0.379  0.394      -  0.535  0.413  0.546  0.426  0.415
  es    0.693  0.650  0.639  0.717  0.406  0.386  0.535      -  0.499  0.681  0.460  0.453
  ru    0.506  0.481  0.489  0.507  0.485  0.444  0.413  0.499      -  0.490  0.535  0.518
  fr    0.689  0.670  0.652  0.683  0.386  0.387  0.546  0.681  0.490      -  0.460  0.457
  ja    0.526  0.486  0.489  0.498  0.527  0.553  0.426  0.460  0.535  0.460      -  0.578
  zh    0.528  0.478  0.489  0.495  0.458  0.468  0.415  0.453  0.518  0.457  0.578      -

Saved results: results/Qwen-2.5-7B-TED_polyfact_consistency.json
